Site,Transect,H,S,J
Corrales_RAV,A,1.8005979627493407,14,0.6822883089894244
Corrales_RAV,B,1.9258461713095574,15,0.7111560083065351
Corrales_RAV,C,2.21305044249221,15,0.8172117494688507
Corrales_RAV,D,1.8441270491097173,13,0.7189721090379739
Corrales_RAV,E,2.191091553419737,17,0.7733591817278486
Corrales_RAV,F,1.0359632301067219,10,0.449913114290018
Corrales_RAV,G,1.0178045435433534,9,0.4632228102860916
Corrales_RAV,H,2.006883318978136,14,0.7604546125076845
Corrales_RAV,I,1.4187062663696308,7,0.7290707985969312
Corrales_RAV,J,2.04600477300519,17,0.7221499140887124
Corrales_SWFL,A,1.5145697327946772,12,0.6095076983772781
Corrales_SWFL,B,1.503456017533558,14,0.5696943376947189
Corrales_SWFL,C,1.1875710373789936,12,0.47791374274776527
Corrales_SWFL,D,0.9976169877738539,7,0.5126737163368874
Corrales_SWFL,E,1.5610882214330226,16,0.5630435588628985
Corrales_SWFL,F,1.4070505588957305,9,0.6403763062770544
Corrales_SWFL,G,2.0806035099638622,15,0.7683031537292148
Corrales_SWFL,H,1.6101338448929579,11,0.6714779678488267
Corrales_SWFL,I,1.4674094807637625,17,0.5179311624527794
Corrales_SWFL,J,1.3220387871868367,11,0.5513329969761367
